,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
290,12,16,61,ours_temp,46,52,72,1.276637077331543,66,44
291,12,16,61,Bravyi et al. (qiskit),34,45,94,0.011409282684326172,94,58
292,13,16,61,ours,60,73,130,0.028621435165405273,99,70
293,13,16,61,ours_random,72,69,149,0.030168771743774414,104,79
294,13,16,61,ours_temp,63,67,104,1.3160576820373535,80,55
295,13,16,61,Bravyi et al. (qiskit),42,35,184,0.013751745223999023,122,99
296,14,16,61,ours,40,57,104,0.02602410316467285,77,58
297,14,16,61,ours_random,48,56,143,0.030165433883666992,108,86
298,14,16,61,ours_temp,38,58,103,1.1708333492279053,76,57
299,14,16,61,Bravyi et al. (qiskit),33,35,155,0.012339115142822266,111,87
300,15,16,61,ours,55,65,140,0.028574228286743164,99,69
301,15,16,61,ours_random,67,71,188,0.031231403350830078,131,103
302,15,16,61,ours_temp,47,59,80,1.1943292617797852,65,43
303,15,16,61,Bravyi et al. (qiskit),27,29,97,0.009921789169311523,67,53
304,16,16,61,ours,61,56,121,0.03014850616455078,91,60
305,16,16,61,ours_random,84,82,195,0.03305768966674805,138,109
306,16,16,61,ours_temp,59,50,115,1.2648983001708984,90,64
307,16,16,61,Bravyi et al. (qiskit),35,34,150,0.01266789436340332,86,65
308,17,16,61,ours,50,54,158,0.02689647674560547,111,85
309,17,16,61,ours_random,48,60,163,0.027538776397705078,98,79
310,17,16,61,ours_temp,41,63,105,1.1304867267608643,83,55
311,17,16,61,Bravyi et al. (qiskit),19,29,64,0.009707450866699219,42,27
312,18,16,61,ours,66,62,160,0.10347270965576172,108,85
313,18,16,61,ours_random,63,60,157,0.02798008918762207,102,86
314,18,16,61,ours_temp,57,55,124,1.2725908756256104,98,72
315,18,16,61,Bravyi et al. (qiskit),35,45,85,0.011249065399169922,63,40
316,19,16,61,ours,57,50,154,0.029833078384399414,98,79
317,19,16,61,ours_random,66,82,171,0.032948970794677734,120,98
318,19,16,61,ours_temp,54,55,146,1.2883210182189941,86,70
319,19,16,61,Bravyi et al. (qiskit),44,49,151,0.013657569885253906,120,81
320,0,16,81,ours,78,64,195,0.03266429901123047,130,105
321,0,16,81,ours_random,73,82,157,0.030809640884399414,112,87
322,0,16,81,ours_temp,72,75,172,1.4246876239776611,111,86
323,0,16,81,Bravyi et al. (qiskit),40,37,151,0.01336216926574707,123,96
324,1,16,81,ours,64,66,193,0.03267812728881836,118,99
325,1,16,81,ours_random,101,90,213,0.03707456588745117,129,95
326,1,16,81,ours_temp,81,83,186,1.5328516960144043,123,96
327,1,16,81,Bravyi et al. (qiskit),67,65,305,0.016532421112060547,213,163
328,2,16,81,ours,65,59,124,0.030152082443237305,88,70
