,n_rep,num_qubits,n_gadgets,method,h,s,cx
559,19,65,601,Ewout van den Berg (stim),1062,625,16842
560,0,65,701,ours,1372,1021,4432
561,0,65,701,qiskit transpile,231,241,2622
562,0,65,701,Bravyi et al. (qiskit),711,555,12880
563,0,65,701,Ewout van den Berg (stim),1379,727,22670
564,1,65,701,ours,1402,1023,4224
565,1,65,701,qiskit transpile,254,223,2537
566,1,65,701,Bravyi et al. (qiskit),714,600,12806
567,1,65,701,Ewout van den Berg (stim),1420,822,23110
568,2,65,701,ours,1377,966,4328
569,2,65,701,qiskit transpile,248,226,2411
570,2,65,701,Bravyi et al. (qiskit),792,683,14591
