,n_rep,num_qubits,n_gadgets,method,h,s,cx
555,18,7,121,Ewout van den Berg (stim),21,27,78
556,19,7,121,ours,30,34,34
557,19,7,121,qiskit transpile,42,37,128
558,19,7,121,Bravyi et al. (qiskit),22,23,94
559,19,7,121,Ewout van den Berg (stim),26,33,118
560,0,7,141,ours,24,30,34
561,0,7,141,qiskit transpile,39,55,134
562,0,7,141,Bravyi et al. (qiskit),30,37,81
563,0,7,141,Ewout van den Berg (stim),29,25,133
564,1,7,141,ours,26,30,43
565,1,7,141,qiskit transpile,48,52,97
566,1,7,141,Bravyi et al. (qiskit),20,28,47
567,1,7,141,Ewout van den Berg (stim),23,21,74
568,2,7,141,ours,31,35,43
569,2,7,141,qiskit transpile,46,46,141
570,2,7,141,Bravyi et al. (qiskit),29,28,90
571,2,7,141,Ewout van den Berg (stim),27,24,93
572,3,7,141,ours,32,42,44
573,3,7,141,qiskit transpile,61,36,124
574,3,7,141,Bravyi et al. (qiskit),21,26,87
575,3,7,141,Ewout van den Berg (stim),24,27,118
576,4,7,141,ours,26,30,39
577,4,7,141,qiskit transpile,44,52,136
578,4,7,141,Bravyi et al. (qiskit),26,26,102
579,4,7,141,Ewout van den Berg (stim),26,25,101
580,5,7,141,ours,30,25,40
581,5,7,141,qiskit transpile,50,38,154
582,5,7,141,Bravyi et al. (qiskit),19,35,69
583,5,7,141,Ewout van den Berg (stim),22,29,98
584,6,7,141,ours,28,27,42
585,6,7,141,qiskit transpile,54,36,155
586,6,7,141,Bravyi et al. (qiskit),26,24,96
587,6,7,141,Ewout van den Berg (stim),23,27,98
