,n_rep,num_qubits,n_gadgets,method,h,s,cx
446,11,65,501,Bravyi et al. (qiskit),368,252,530
447,11,65,501,Ewout van den Berg (stim),830,377,1320
448,12,65,501,ours,689,473,1275
449,12,65,501,qiskit transpile,159,197,145
450,12,65,501,Bravyi et al. (qiskit),289,219,468
451,12,65,501,Ewout van den Berg (stim),659,295,1067
452,13,65,501,ours,793,566,1434
453,13,65,501,qiskit transpile,180,151,170
454,13,65,501,Bravyi et al. (qiskit),445,381,860
455,13,65,501,Ewout van den Berg (stim),983,484,1663
456,14,65,501,ours,832,566,1516
457,14,65,501,qiskit transpile,178,161,162
458,14,65,501,Bravyi et al. (qiskit),379,272,634
459,14,65,501,Ewout van den Berg (stim),745,388,1273
460,15,65,501,ours,820,614,1575
461,15,65,501,qiskit transpile,179,165,157
462,15,65,501,Bravyi et al. (qiskit),419,323,751
463,15,65,501,Ewout van den Berg (stim),835,358,1256
464,16,65,501,ours,848,581,1580
465,16,65,501,qiskit transpile,168,157,176
466,16,65,501,Bravyi et al. (qiskit),403,294,686
467,16,65,501,Ewout van den Berg (stim),944,436,1580
468,17,65,501,ours,754,538,1409
469,17,65,501,qiskit transpile,186,166,149
470,17,65,501,Bravyi et al. (qiskit),320,243,490
471,17,65,501,Ewout van den Berg (stim),539,268,805
472,18,65,501,ours,836,623,1511
473,18,65,501,qiskit transpile,176,155,170
474,18,65,501,Bravyi et al. (qiskit),448,336,774
475,18,65,501,Ewout van den Berg (stim),1033,483,1692
476,19,65,501,ours,744,610,1400
477,19,65,501,qiskit transpile,166,164,171
478,19,65,501,Bravyi et al. (qiskit),359,285,633
479,19,65,501,Ewout van den Berg (stim),804,385,1242
480,0,65,601,ours,1061,768,1911
481,0,65,601,qiskit transpile,193,209,199
482,0,65,601,Bravyi et al. (qiskit),565,359,1006
483,0,65,601,Ewout van den Berg (stim),1135,594,1947
484,1,65,601,ours,1056,713,2041
485,1,65,601,qiskit transpile,181,208,212
486,1,65,601,Bravyi et al. (qiskit),684,552,1281
487,1,65,601,Ewout van den Berg (stim),1217,674,2203
488,2,65,601,ours,1002,717,1850
489,2,65,601,qiskit transpile,189,213,199
490,2,65,601,Bravyi et al. (qiskit),512,379,999
491,2,65,601,Ewout van den Berg (stim),924,487,1630
492,3,65,601,ours,819,615,1552
493,3,65,601,qiskit transpile,204,222,173
494,3,65,601,Bravyi et al. (qiskit),422,326,679
495,3,65,601,Ewout van den Berg (stim),1084,579,1863
496,4,65,601,ours,1000,635,1851
497,4,65,601,qiskit transpile,203,191,207
498,4,65,601,Bravyi et al. (qiskit),609,434,1103
499,4,65,601,Ewout van den Berg (stim),1096,576,1956
500,5,65,601,ours,1047,738,1946
501,5,65,601,qiskit transpile,196,203,202
502,5,65,601,Bravyi et al. (qiskit),645,491,1123
503,5,65,601,Ewout van den Berg (stim),1281,751,2309
504,6,65,601,ours,954,698,1806
505,6,65,601,qiskit transpile,213,199,189
506,6,65,601,Bravyi et al. (qiskit),554,440,981
507,6,65,601,Ewout van den Berg (stim),1223,630,2125
508,7,65,601,ours,1016,683,1891
509,7,65,601,qiskit transpile,209,184,208
510,7,65,601,Bravyi et al. (qiskit),603,502,1189
511,7,65,601,Ewout van den Berg (stim),990,541,1700
512,8,65,601,ours,1017,693,1871
513,8,65,601,qiskit transpile,209,209,183
514,8,65,601,Bravyi et al. (qiskit),493,363,865
515,8,65,601,Ewout van den Berg (stim),1026,529,1733
516,9,65,601,ours,982,661,1862
517,9,65,601,qiskit transpile,208,199,194
518,9,65,601,Bravyi et al. (qiskit),600,439,1106
519,9,65,601,Ewout van den Berg (stim),1014,554,1883
520,10,65,601,ours,1120,760,2098
521,10,65,601,qiskit transpile,191,207,203
522,10,65,601,Bravyi et al. (qiskit),675,582,1291
523,10,65,601,Ewout van den Berg (stim),1362,701,2340
524,11,65,601,ours,1260,871,2352
525,11,65,601,qiskit transpile,202,179,220
526,11,65,601,Bravyi et al. (qiskit),793,699,1592
527,11,65,601,Ewout van den Berg (stim),1263,765,2365
528,12,65,601,ours,985,715,1939
529,12,65,601,qiskit transpile,203,197,201
530,12,65,601,Bravyi et al. (qiskit),490,420,1007
531,12,65,601,Ewout van den Berg (stim),1245,614,2114
532,13,65,601,ours,1042,711,1884
533,13,65,601,qiskit transpile,192,212,197
534,13,65,601,Bravyi et al. (qiskit),561,406,1008
535,13,65,601,Ewout van den Berg (stim),1223,671,2148
536,14,65,601,ours,1000,736,1812
537,14,65,601,qiskit transpile,189,213,197
538,14,65,601,Bravyi et al. (qiskit),519,349,846
539,14,65,601,Ewout van den Berg (stim),1045,623,1909
540,15,65,601,ours,855,629,1562
541,15,65,601,qiskit transpile,227,197,177
542,15,65,601,Bravyi et al. (qiskit),467,318,836
543,15,65,601,Ewout van den Berg (stim),877,371,1382
544,16,65,601,ours,1072,792,2045
545,16,65,601,qiskit transpile,182,205,214
546,16,65,601,Bravyi et al. (qiskit),626,512,1223
547,16,65,601,Ewout van den Berg (stim),1183,749,2193
548,17,65,601,ours,1072,772,2033
549,17,65,601,qiskit transpile,205,185,211
550,17,65,601,Bravyi et al. (qiskit),682,491,1276
551,17,65,601,Ewout van den Berg (stim),1242,602,2124
552,18,65,601,ours,920,626,1698
553,18,65,601,qiskit transpile,184,218,199
554,18,65,601,Bravyi et al. (qiskit),509,350,901
555,18,65,601,Ewout van den Berg (stim),1226,609,2137
556,19,65,601,ours,1023,712,1868
557,19,65,601,qiskit transpile,197,202,202
558,19,65,601,Bravyi et al. (qiskit),676,495,1279
559,19,65,601,Ewout van den Berg (stim),1161,659,1939
560,0,65,701,ours,1069,737,2108
561,0,65,701,qiskit transpile,222,237,240
562,0,65,701,Bravyi et al. (qiskit),760,647,1512
563,0,65,701,Ewout van den Berg (stim),1366,851,2451
564,1,65,701,ours,1250,859,2363
565,1,65,701,qiskit transpile,232,233,236
566,1,65,701,Bravyi et al. (qiskit),833,732,1732
567,1,65,701,Ewout van den Berg (stim),1454,964,2679
568,2,65,701,ours,1074,757,2061
569,2,65,701,qiskit transpile,232,231,236
570,2,65,701,Bravyi et al. (qiskit),632,516,1244
571,2,65,701,Ewout van den Berg (stim),1301,762,2350
572,3,65,701,ours,1087,812,2029
573,3,65,701,qiskit transpile,240,238,223
574,3,65,701,Bravyi et al. (qiskit),718,606,1380
575,3,65,701,Ewout van den Berg (stim),1170,657,2051
576,4,65,701,ours,1189,876,2340
577,4,65,701,qiskit transpile,228,245,226
578,4,65,701,Bravyi et al. (qiskit),699,636,1503
579,4,65,701,Ewout van den Berg (stim),1408,824,2505
580,5,65,701,ours,1027,706,1955
